PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,First_name,Surname,deck,num,side,Age Interval,expenses,Transported
5303_02,Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Loree Hoffergess,Loree,Hoffergess,G,857,P,6-12,0.0,True
2040_01,Europa,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,Lesaten Stiven,Lesaten,Stiven,B,85,S,48-54,0.0,True
1188_01,Europa,False,TRAPPIST-1e,58.0,False,204.0,4227.0,0.0,3026.0,61.0,Genubi Sorticbar,Genubi,Sorticbar,C,46,P,54-60,7518.0,False
5912_01,Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,Dianya Joycerton,Dianya,Joycerton,G,963,S,12-18,0.0,True
8115_02,Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,Eltais Prieress,Eltais,Prieress,B,318,S,36-42,0.0,True
7757_01,Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Muonons Lowerrudy,Muonons,Lowerrudy,B,300,S,24-30,0.0,True
4338_01,Europa,False,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,0.0,0.0,Leshmet Gealloyalt,Leshmet,Gealloyalt,C,156,S,48-54,0.0,True
8708_01,Earth,False,PSO J318.5-22,28.0,False,679.0,0.0,0.0,0.0,0.0,Annard Jacostaffey,Annard,Jacostaffey,G,1413,P,24-30,679.0,False
0380_01,Europa,True,55 Cancri e,26.0,False,0.0,0.0,0.0,0.0,0.0,Zinopus Fuelddid,Zinopus,Fuelddid,,,,24-30,0.0,True
7224_01,Earth,True,TRAPPIST-1e,30.0,False,0.0,0.0,0.0,0.0,0.0,Everly Carvis,Everly,Carvis,G,1175,S,30-36,0.0,True
7188_02,Europa,False,TRAPPIST-1e,28.0,False,0.0,2896.0,46.0,5248.0,8169.0,Taura Imingle,Taura,Imingle,C,233,P,24-30,16359.0,False
8418_02,Europa,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,206.0,2684.0,Maiah Baleful,Maiah,Baleful,B,330,S,18-24,2890.0,False
0482_01,Earth,False,TRAPPIST-1e,27.0,False,0.0,118.0,0.0,5.0,665.0,Anny Mallerez,Anny,Mallerez,E,28,S,24-30,788.0,False
1182_01,Mars,True,55 Cancri e,64.0,False,0.0,0.0,0.0,0.0,0.0,Mits Pota,Mits,Pota,F,237,P,60-66,0.0,True
5598_01,Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,500.0,2.0,208.0,Lulah Thony,Lulah,Thony,G,903,S,18-24,710.0,True
2024_02,Earth,False,55 Cancri e,17.0,False,44.0,1535.0,10.0,51.0,0.0,Ianne Kinson,Ianne,Kinson,E,150,S,12-18,1640.0,True
2920_01,Earth,False,TRAPPIST-1e,23.0,False,0.0,179.0,569.0,0.0,0.0,Joelan Schwardson,Joelan,Schwardson,F,606,P,18-24,748.0,True
1818_01,Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Felia Portananney,Felia,Portananney,G,297,P,12-18,0.0,True
0938_01,Earth,False,TRAPPIST-1e,24.0,False,174.0,0.0,0.0,630.0,0.0,Earlie Solinez,Earlie,Solinez,F,172,S,24-30,804.0,False
9169_01,Mars,False,TRAPPIST-1e,38.0,False,48.0,2318.0,5.0,11.0,0.0,Los Iccle,Los,Iccle,D,295,P,36-42,2382.0,True
0642_02,Europa,False,55 Cancri e,36.0,False,0.0,4967.0,82.0,1517.0,575.0,Aviton Kiling,Aviton,Kiling,C,25,S,36-42,7141.0,True
3293_01,Mars,False,TRAPPIST-1e,20.0,False,915.0,12.0,25.0,205.0,311.0,Wings Part,Wings,Part,F,623,S,18-24,1468.0,True
3093_01,Mars,False,55 Cancri e,22.0,False,2229.0,0.0,1349.0,121.0,0.0,Berk Terte,Berk,Terte,E,194,P,18-24,3699.0,True
4000_03,Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Samie Burraymons,Samie,Burraymons,G,658,S,0-6,0.0,True
5148_01,Earth,False,TRAPPIST-1e,13.0,False,0.0,63.0,54.0,20.0,916.0,Garyan Canields,Garyan,Canields,F,1051,P,12-18,1053.0,False
1915_01,Earth,False,TRAPPIST-1e,27.0,False,0.0,51.0,0.0,37.0,704.0,Letta Hurchez,Letta,Hurchez,E,116,P,24-30,792.0,False
8956_03,Earth,False,PSO J318.5-22,24.0,False,0.0,0.0,40.0,0.0,575.0,Sallyl Bonnondry,Sallyl,Bonnondry,G,1453,P,24-30,615.0,False
4831_01,Mars,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,Weros Pelie,Weros,Pelie,F,984,P,18-24,0.0,True
6766_02,Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Carita Warrishales,Carita,Warrishales,G,1098,P,0-6,0.0,True
4350_01,Earth,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,Rence Robersondez,Rence,Robersondez,G,709,S,18-24,0.0,True
6220_01,Earth,False,PSO J318.5-22,42.0,False,0.0,168.0,0.0,113.0,461.0,Rica Jacostaffey,Rica,Jacostaffey,F,1284,P,42-48,742.0,False
4631_01,Europa,True,55 Cancri e,25.0,False,0.0,0.0,0.0,0.0,0.0,Asellum Calazy,Asellum,Calazy,C,147,P,24-30,0.0,True
8850_01,Mars,False,TRAPPIST-1e,16.0,False,1032.0,0.0,267.0,0.0,0.0,Koat Kie,Koat,Kie,E,580,S,12-18,1299.0,False
7460_01,Earth,False,55 Cancri e,24.0,False,786.0,0.0,0.0,309.0,0.0,Leria Haydenez,Leria,Haydenez,F,1543,P,24-30,1095.0,True
4646_01,Earth,False,PSO J318.5-22,22.0,False,141.0,16.0,0.0,177.0,336.0,Pennie Mcgoway,Pennie,Mcgoway,F,873,S,18-24,670.0,True
0548_01,Earth,False,TRAPPIST-1e,24.0,False,0.0,86.0,704.0,0.0,1.0,Kariel Webstes,Kariel,Webstes,E,36,S,24-30,791.0,True
6200_01,Europa,False,TRAPPIST-1e,27.0,False,3.0,4654.0,0.0,657.0,214.0,Saxino Duckil,Saxino,Duckil,B,238,S,24-30,5528.0,True
4212_01,Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Kenny Yanton,Kenny,Yanton,G,690,S,24-30,0.0,True
7498_02,Mars,True,TRAPPIST-1e,5.0,False,0.0,0.0,0.0,0.0,0.0,Bonutz Cola,Bonutz,Cola,F,1550,P,0-6,0.0,True
7446_01,Earth,False,TRAPPIST-1e,18.0,False,960.0,672.0,0.0,0.0,168.0,Mamina Hopez,Mamina,Hopez,G,1204,P,18-24,1800.0,False
5985_01,Earth,False,TRAPPIST-1e,24.0,False,276.0,0.0,0.0,0.0,489.0,Judya Wooterston,Judya,Wooterston,F,1234,P,24-30,765.0,True
8638_01,Earth,True,TRAPPIST-1e,22.0,False,0.0,0.0,0.0,0.0,0.0,Therta Holliams,Therta,Holliams,G,1402,P,18-24,0.0,False
1827_01,Earth,False,55 Cancri e,24.0,False,0.0,94.0,1.0,56.0,427.0,Chrisa Norrison,Chrisa,Norrison,F,352,S,24-30,578.0,False
6285_01,Europa,True,55 Cancri e,64.0,False,0.0,0.0,0.0,0.0,0.0,Winonon Whealeed,Winonon,Whealeed,B,245,S,60-66,0.0,True
0071_01,Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,Nelly,Dillines,F,14,P,12-18,2233.0,False
7809_01,Mars,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Guts Sty,Guts,Sty,F,1493,S,24-30,0.0,True
7188_01,Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Muonus Imingle,Muonus,Imingle,C,233,P,0-6,0.0,True
8522_01,Earth,False,TRAPPIST-1e,27.0,False,3.0,228.06932773109244,10.0,4.0,855.0,Ianna Quinnerettt,Ianna,Quinnerettt,F,1751,P,24-30,1100.0693277310925,True
7712_01,Europa,False,TRAPPIST-1e,25.0,True,1.0,4298.0,0.0,0.0,2.0,Alphact Gealter,Alphact,Gealter,A,93,S,24-30,4301.0,True
6549_01,Mars,False,TRAPPIST-1e,31.0,False,1979.0,0.0,2.0,112.0,0.0,Eclass Flate,Eclass,Flate,F,1251,S,30-36,2093.0,False
9057_02,Europa,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Sitron Statch,Sitron,Statch,B,296,P,54-60,0.0,True
4407_01,Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Ericky Mejiarkerox,Ericky,Mejiarkerox,G,719,S,54-60,0.0,True
0078_01,Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,Spuri,Pokerheed,C,4,S,36-42,15815.0,False
5016_01,Mars,False,TRAPPIST-1e,18.0,False,1092.0,31.0,309.0,0.0,0.0,Honda Bert,Honda,Bert,F,1023,P,18-24,1432.0,False
5404_01,Earth,False,TRAPPIST-1e,38.0,False,766.0,38.0,0.0,0.0,0.0,Bettie Gentledges,Bettie,Gentledges,F,1111,P,36-42,804.0,False
0551_01,Earth,False,TRAPPIST-1e,42.0,False,126.0,0.0,266.0,445.0,12.0,Stene Bradlerson,Stene,Bradlerson,G,80,S,42-48,849.0,False
1451_02,Europa,True,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Unukath Proorbeng,Unukath,Proorbeng,C,56,S,36-42,0.0,True
3026_01,Earth,True,TRAPPIST-1e,22.0,False,0.0,0.0,0.0,0.0,0.0,Artis Gambs,Artis,Gambs,G,492,P,18-24,0.0,False
0481_01,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Gera Peckerson,Gera,Peckerson,G,70,S,12-18,0.0,True
6650_01,Earth,False,TRAPPIST-1e,48.0,False,12.0,0.0,0.0,0.0,796.0,Joelan Beasleyes,Joelan,Beasleyes,G,1077,P,48-54,808.0,False
2549_03,Mars,False,TRAPPIST-1e,55.0,False,1281.0,0.0,7.0,1.0,0.0,Oafron Prin,Oafron,Prin,F,522,P,54-60,1289.0,False
7970_01,Europa,False,55 Cancri e,18.0,False,0.0,3492.0,0.0,506.0,8.0,Genif Wassird,Genif,Wassird,C,258,P,18-24,4006.0,True
3149_02,Earth,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,Katen Portananney,Katen,Portananney,G,494,S,18-24,0.0,True
1823_01,Earth,False,TRAPPIST-1e,67.0,False,143.0,68.0,496.0,182.0,9.0,Loree Byerson,Loree,Byerson,,,,66-72,898.0,True
7342_01,Earth,False,TRAPPIST-1e,50.0,False,0.0,185.0,0.0,1.0,558.0,Stevey Haynard,Stevey,Haynard,G,1178,P,48-54,744.0,True
8574_01,Mars,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,Hork Welte,Hork,Welte,F,1653,S,36-42,0.0,True
5027_01,Earth,False,55 Cancri e,41.0,False,4.0,737.0,0.0,51.0,0.0,Noria Kiddley,Noria,Kiddley,E,321,S,36-42,792.0,False
7922_01,Earth,False,TRAPPIST-1e,39.0,False,3030.0,79.0,0.0,0.0,0.0,Lloyde Llobsoney,Lloyde,Llobsoney,F,1517,S,36-42,3109.0,False
5863_02,Earth,False,TRAPPIST-1e,17.0,False,0.0,566.0,18.0,318.0,0.0,Allene Loverthyo,Allene,Loverthyo,F,1210,P,12-18,902.0,False
4204_02,Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Rald Avisnydes,Rald,Avisnydes,G,691,P,6-12,0.0,False
4257_01,Earth,False,TRAPPIST-1e,19.0,False,0.0,265.0,882.0,2.0,293.0,Jeanie Serraynardy,Jeanie,Serraynardy,F,881,P,18-24,1442.0,False
8577_01,Mars,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,Mans Kill,Mans,Kill,F,1654,S,54-60,0.0,True
3284_02,Earth,True,PSO J318.5-22,29.0,False,0.0,0.0,0.0,0.0,0.0,Olgary Holsen,Olgary,Holsen,G,535,P,24-30,0.0,True
0138_01,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,Fayene,Gambs,G,18,P,12-18,0.0,True
5274_01,Earth,False,TRAPPIST-1e,25.0,False,662.0,34.0,0.0,79.0,148.0,Weney Hineyley,Weney,Hineyley,F,1078,P,24-30,923.0,False
3706_02,Mars,False,TRAPPIST-1e,18.0,False,131.0,0.0,980.0,1.0,0.0,Honda Kidie,Honda,Kidie,F,770,P,18-24,1112.0,True
4645_02,Europa,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,Okula Bacistion,Okula,Bacistion,B,184,S,30-36,0.0,True
0765_02,Mars,False,TRAPPIST-1e,23.0,False,755.0,0.0,121.0,218.28571428571428,0.0,Ponts Burle,Ponts,Burle,F,142,S,18-24,1094.2857142857142,False
0809_01,Mars,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Oaters Meake,Oaters,Meake,F,151,S,6-12,0.0,True
6205_01,Mars,False,TRAPPIST-1e,27.0,True,55.0,0.0,50.0,1849.0,1.0,Spikes Sulie,Spikes,Sulie,D,189,S,24-30,1955.0,False
5535_03,Earth,False,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,Blanie Arner,Blanie,Arner,G,893,S,0-6,0.0,True
3853_01,Earth,False,PSO J318.5-22,18.0,False,16.0,6.0,735.0,0.0,0.0,Jeane Herreras,Jeane,Herreras,F,725,S,18-24,757.0,True
6309_05,Earth,False,55 Cancri e,7.0,False,0.0,0.0,0.0,0.0,0.0,Vin Rodricker,Vin,Rodricker,G,1023,S,6-12,0.0,True
6095_01,Mars,False,TRAPPIST-1e,29.0,False,3564.0,0.0,802.0,0.0,0.0,Crin Rapie,Crin,Rapie,D,192,P,24-30,4366.0,False
8448_01,Europa,True,55 Cancri e,46.0,False,0.0,0.0,0.0,0.0,0.0,Phernar Haftical,Phernar,Haftical,B,278,P,42-48,0.0,True
3821_01,Earth,False,PSO J318.5-22,28.0,False,0.0,2.0,0.0,0.0,867.0,Violan Mcphernard,Violan,Mcphernard,,,,24-30,869.0,False
6779_04,Europa,False,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,Altara Stioutody,Altara,Stioutody,B,258,S,6-12,0.0,True
6929_01,Earth,False,TRAPPIST-1e,4.0,False,0.0,0.0,0.0,0.0,0.0,Nelly Llovers,Nelly,Llovers,G,1122,P,0-6,0.0,True
2142_01,Mars,True,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Tostex Pri,Tostex,Pri,F,418,S,36-42,0.0,True
8592_01,Europa,False,TRAPPIST-1e,19.0,False,0.0,1406.0,0.0,4199.0,2123.0,Bosoneb Gulthler,Bosoneb,Gulthler,D,268,P,18-24,7728.0,False
8447_01,Earth,False,TRAPPIST-1e,25.0,False,1.0,0.0,1.0,14.0,1491.0,Erine Joyneidez,Erine,Joyneidez,F,1734,P,24-30,1507.0,False
5989_01,Earth,False,TRAPPIST-1e,20.0,False,0.0,0.0,213.46502057613168,703.0,0.0,Darrie Holcompton,Darrie,Holcompton,F,1141,S,18-24,916.4650205761317,False
6963_01,Mars,False,TRAPPIST-1e,20.0,False,3839.0,57.0,1967.0,4.0,2.0,Soyos Boste,Soyos,Boste,F,1328,S,18-24,5869.0,False
0969_01,Mars,True,TRAPPIST-1e,44.0,False,0.0,0.0,0.0,0.0,0.0,Lar Emone,Lar,Emone,F,202,P,42-48,0.0,True
8177_01,Earth,False,TRAPPIST-1e,31.0,False,116.0,284.376,298.0,2.0,227.0,Davis Wallerson,Davis,Wallerson,G,1317,S,30-36,927.376,False
5732_01,Earth,False,TRAPPIST-1e,20.0,False,0.0,0.0,53.0,2.0,754.0,Brancy Ocherman,Brancy,Ocherman,G,921,P,18-24,809.0,False
0577_01,Earth,False,TRAPPIST-1e,65.0,False,0.0,0.0,521.0,105.0,0.0,Gwendy Holson,Gwendy,Holson,G,86,P,60-66,626.0,False
0809_04,Mars,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Wales Meake,Wales,Meake,F,151,S,0-6,0.0,True
6146_01,Europa,False,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,Scelava Groforacid,Scelava,Groforacid,B,207,P,30-36,0.0,False
6734_01,Europa,False,55 Cancri e,47.0,False,0.0,2699.0,0.0,671.0,8.0,Pleion Sparsaxle,Pleion,Sparsaxle,C,249,S,42-48,3378.0,True
2353_01,Earth,False,TRAPPIST-1e,30.0,False,27.0,5412.0,86.0,214.45267489711935,0.0,Janney Morgerson,Janney,Morgerson,G,380,S,30-36,5739.452674897119,True
8605_01,Europa,False,TRAPPIST-1e,67.0,False,0.0,82.0,0.0,2279.0,293.0,Suhain Netshaless,Suhain,Netshaless,C,324,S,66-72,2654.0,False
2311_01,Earth,False,TRAPPIST-1e,33.0,False,0.0,763.0,1.0,66.0,84.0,Elsane Cabrewsond,Elsane,Cabrewsond,G,372,P,30-36,914.0,False
6034_01,Mars,False,PSO J318.5-22,26.0,False,2042.0,0.0,2387.0,10.0,0.0,Callix Pette,Callix,Pette,E,385,P,24-30,4439.0,True
8362_01,Earth,False,TRAPPIST-1e,19.0,False,49.0,680.0,0.0,0.0,46.0,Jerrye Briggston,Jerrye,Briggston,F,1720,P,18-24,775.0,True
8383_02,Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Nathy Gibbsonton,Nathy,Gibbsonton,G,1368,P,0-6,0.0,False
2602_01,Mars,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Oakes Seche,Oakes,Seche,E,158,P,30-36,0.0,False
7042_01,Earth,True,PSO J318.5-22,48.0,False,0.0,0.0,0.0,0.0,0.0,Elson Quinnerry,Elson,Quinnerry,G,1138,P,48-54,0.0,False
1980_02,Earth,False,TRAPPIST-1e,29.0,False,1434.0,5.0,0.0,0.0,0.0,Man Freevenson,Man,Freevenson,G,312,S,24-30,1439.0,False
4422_02,Europa,False,TRAPPIST-1e,29.0,False,0.0,6338.0,0.0,1366.0,89.0,Ranark Dinsprody,Ranark,Dinsprody,B,172,S,24-30,7793.0,True
7377_01,Earth,True,PSO J318.5-22,43.0,False,0.0,0.0,0.0,0.0,0.0,Estine Steelerettt,Estine,Steelerettt,G,1186,P,42-48,0.0,False
4099_01,Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,Willey Fryersonis,Willey,Fryersonis,G,673,P,18-24,0.0,True
8316_01,Earth,False,55 Cancri e,21.0,False,532.0,4.0,37.0,1.0,0.0,Gailia Beckerson,Gailia,Beckerson,F,1709,P,18-24,574.0,False
0454_02,Europa,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,Etair Fushausive,Etair,Fushausive,B,15,S,42-48,0.0,True
9032_01,Mars,True,TRAPPIST-1e,37.0,False,0.0,0.0,0.0,0.0,0.0,Pefox Late,Pefox,Late,E,578,P,36-42,0.0,False
3894_01,Earth,False,PSO J318.5-22,18.0,False,0.0,525.0,0.0,0.0,84.0,Stald Vinozarks,Stald,Vinozarks,F,735,S,18-24,609.0,True
8641_02,Mars,False,TRAPPIST-1e,19.0,False,1146.0,0.0,3.0,0.0,0.0,Conth Mille,Conth,Mille,F,1667,S,18-24,1149.0,False
2552_02,Earth,False,55 Cancri e,7.0,False,0.0,0.0,0.0,0.0,0.0,Dorice Vincenton,Dorice,Vincenton,G,408,S,6-12,0.0,True
8797_01,Earth,False,PSO J318.5-22,18.0,False,0.0,3.0,110.0,588.0,0.0,Julies Bradamss,Julies,Bradamss,F,1705,S,18-24,701.0,False
2299_01,Mars,False,TRAPPIST-1e,35.0,False,174.0,0.0,381.0,0.0,62.0,Wealke Ramad,Wealke,Ramad,F,448,S,30-36,617.0,False
6751_02,Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,Fal Berle,Fal,Berle,E,446,S,30-36,0.0,False
2449_02,Mars,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,Tark Nacke,Tark,Nacke,E,146,P,24-30,0.0,False
1045_02,Europa,False,TRAPPIST-1e,44.0,False,0.0,2349.0,7.0,815.0,10896.0,Shail Unteckery,Shail,Unteckery,C,38,P,42-48,14067.0,False
5290_01,Earth,False,TRAPPIST-1e,31.0,False,1177.0,2.0,0.0,214.45267489711935,1.0,Bretty Patthews,Bretty,Patthews,F,1083,P,30-36,1394.4526748971193,False
3470_01,Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,Gory Byerry,Gory,Byerry,G,563,S,18-24,0.0,False
3850_03,Europa,False,TRAPPIST-1e,25.0,False,0.0,6130.0,0.0,36.0,1.0,Achib Unteckery,Achib,Unteckery,C,137,S,24-30,6167.0,True
4021_01,Mars,False,TRAPPIST-1e,32.0,False,1843.0,0.0,662.0,0.0,0.0,Flys Buth,Flys,Buth,F,832,P,30-36,2505.0,False
4433_01,Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,Eriney Guerson,Eriney,Guerson,G,729,P,18-24,0.0,False
0768_01,Europa,False,55 Cancri e,36.0,False,29.0,12180.0,0.0,93.0,17306.0,Maiam Oilloody,Maiam,Oilloody,B,32,P,36-42,29608.0,False
5611_02,Europa,False,TRAPPIST-1e,46.0,False,0.0,3477.0,0.0,1.0,5543.0,Grum Clutchor,Grum,Clutchor,D,171,S,42-48,9021.0,False
4371_04,Europa,False,TRAPPIST-1e,25.0,False,0.0,4384.0,4285.0,812.0,360.0,Canonon Shricatory,Canonon,Shricatory,C,158,S,24-30,9841.0,True
0767_01,Earth,False,TRAPPIST-1e,49.0,False,0.0,6.0,679.0,15.0,187.0,Francy Meltonway,Francy,Meltonway,G,116,S,48-54,887.0,False
6853_01,Europa,False,55 Cancri e,31.0,False,0.0,1604.0,4058.0,4094.0,124.0,Menkaa Cathome,Menkaa,Cathome,C,218,P,30-36,9880.0,False
2515_01,Europa,False,55 Cancri e,28.0,True,2.0,2144.0,0.0,435.0,5872.0,Zauri Forous,Zauri,Forous,B,96,S,24-30,8453.0,False
5814_05,Mars,True,TRAPPIST-1e,54.0,False,0.0,0.0,0.0,0.0,0.0,Caper Bine,Caper,Bine,D,176,S,54-60,0.0,True
8954_01,Earth,False,PSO J318.5-22,73.0,False,1806.0,0.0,47.0,0.0,0.0,Ianne Torrez,Ianne,Torrez,G,1452,P,72-78,1853.0,False
8377_01,Mars,False,TRAPPIST-1e,40.0,False,963.0,14.0,320.0,1.0,0.0,Pon Meau,Pon,Meau,E,537,P,36-42,1298.0,False
6107_01,Earth,False,55 Cancri e,18.0,False,0.0,0.0,0.0,63.0,525.0,Jonald Willangsey,Jonald,Willangsey,F,1263,P,18-24,588.0,True
7190_01,Earth,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Lilace Rutler,Lilace,Rutler,G,1171,S,12-18,0.0,True
6059_01,Earth,False,TRAPPIST-1e,28.0,False,8.0,0.0,3949.0,0.0,9.0,Andie Rices,Andie,Rices,G,982,P,24-30,3966.0,True
9097_01,Mars,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Hon Mille,Hon,Mille,F,1863,P,30-36,0.0,True
1783_02,Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,Francy Garnettiz,Francy,Garnettiz,G,281,S,18-24,0.0,False
5327_01,Europa,False,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,Furudra Ticiay,Furudra,Ticiay,B,183,P,36-42,0.0,False
0212_02,Earth,False,TRAPPIST-1e,35.0,False,147.0,188.0,0.0,10.0,387.0,Shally Workmans,Shally,Workmans,F,45,P,30-36,732.0,False
0657_01,Earth,False,TRAPPIST-1e,28.0,False,0.0,863.0,0.0,17.0,0.0,,,,F,117,S,24-30,880.0,True
5684_04,Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,Okulus Folhal,Okulus,Folhal,B,218,S,60-66,0.0,True
1806_01,Mars,False,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Goos Hotte,Goos,Hotte,E,138,S,24-30,0.0,False
5180_01,Earth,True,PSO J318.5-22,20.0,False,0.0,0.0,0.0,0.0,0.0,Felia Gillock,Felia,Gillock,G,835,P,18-24,0.0,True
5689_01,Earth,False,TRAPPIST-1e,34.0,False,233.0,0.0,0.0,1054.0,156.0,Raceky Scotterkins,Raceky,Scotterkins,F,1180,P,30-36,1443.0,False
7872_05,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Chesty Wardendez,Chesty,Wardendez,G,1267,P,0-6,0.0,True
1731_02,Earth,False,55 Cancri e,20.0,False,1.0,808.0,0.0,0.0,0.0,Lestie Santry,Lestie,Santry,G,281,P,18-24,809.0,True
2992_01,Earth,False,PSO J318.5-22,49.0,False,0.0,288.7798165137615,0.0,160.0,528.0,Dont Sterreray,Dont,Sterreray,F,570,S,48-54,976.7798165137615,False
1001_01,Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,Nadie Llonovancis,Nadie,Llonovancis,G,154,S,12-18,0.0,False
